"dataset","type","access","source","provider","experiment","frequency","endpoint","dictionary"
"CORDEXbc_output_EUR-11_CNRM_CNRM-CERFACS-CNRM-CM5_rcp85_CNRM-ALADIN63_v2_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_CNRM-CERFACS-CNRM-CM5_rcp85_CNRM-ALADIN63_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_MOHC-HadGEM2-ES_historical_CNRM-ALADIN63_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_MOHC-HadGEM2-ES_historical_CNRM-ALADIN63_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_MOHC-HadGEM2-ES_rcp85_CNRM-ALADIN63_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_MOHC-HadGEM2-ES_rcp85_CNRM-ALADIN63_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_MPI-M-MPI-ESM-LR_historical_CNRM-ALADIN63_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_MPI-M-MPI-ESM-LR_historical_CNRM-ALADIN63_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_MPI-M-MPI-ESM-LR_rcp85_CNRM-ALADIN63_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_MPI-M-MPI-ESM-LR_rcp85_CNRM-ALADIN63_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_NCC-NorESM1-M_historical_CNRM-ALADIN63_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_NCC-NorESM1-M_historical_CNRM-ALADIN63_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_CNRM_NCC-NorESM1-M_rcp85_CNRM-ALADIN63_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_CNRM_NCC-NorESM1-M_rcp85_CNRM-ALADIN63_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_CNRM-CERFACS-CNRM-CM5_historical_DMI-HIRHAM5_v2_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_CNRM-CERFACS-CNRM-CM5_historical_DMI-HIRHAM5_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_CNRM-CERFACS-CNRM-CM5_rcp85_DMI-HIRHAM5_v2_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_CNRM-CERFACS-CNRM-CM5_rcp85_DMI-HIRHAM5_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_ICHEC-EC-EARTH_historical_DMI-HIRHAM5_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_ICHEC-EC-EARTH_historical_DMI-HIRHAM5_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_ICHEC-EC-EARTH_historical_DMI-HIRHAM5_v2_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_ICHEC-EC-EARTH_historical_DMI-HIRHAM5_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_ICHEC-EC-EARTH_rcp45_DMI-HIRHAM5_v2_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_ICHEC-EC-EARTH_rcp45_DMI-HIRHAM5_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_ICHEC-EC-EARTH_rcp85_DMI-HIRHAM5_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_ICHEC-EC-EARTH_rcp85_DMI-HIRHAM5_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_ICHEC-EC-EARTH_rcp85_DMI-HIRHAM5_v2_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_ICHEC-EC-EARTH_rcp85_DMI-HIRHAM5_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_IPSL-IPSL-CM5A-MR_historical_DMI-HIRHAM5_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_IPSL-IPSL-CM5A-MR_historical_DMI-HIRHAM5_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_IPSL-IPSL-CM5A-MR_rcp85_DMI-HIRHAM5_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_IPSL-IPSL-CM5A-MR_rcp85_DMI-HIRHAM5_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_MOHC-HadGEM2-ES_historical_DMI-HIRHAM5_v2_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_MOHC-HadGEM2-ES_historical_DMI-HIRHAM5_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_MOHC-HadGEM2-ES_rcp45_DMI-HIRHAM5_v2_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_MOHC-HadGEM2-ES_rcp45_DMI-HIRHAM5_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_MOHC-HadGEM2-ES_rcp85_DMI-HIRHAM5_v2_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_MOHC-HadGEM2-ES_rcp85_DMI-HIRHAM5_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_MPI-M-MPI-ESM-LR_historical_DMI-HIRHAM5_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_MPI-M-MPI-ESM-LR_historical_DMI-HIRHAM5_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_MPI-M-MPI-ESM-LR_rcp85_DMI-HIRHAM5_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_MPI-M-MPI-ESM-LR_rcp85_DMI-HIRHAM5_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_NCC-NorESM1-M_historical_DMI-HIRHAM5_v3_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_NCC-NorESM1-M_historical_DMI-HIRHAM5_v3_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_NCC-NorESM1-M_rcp45_DMI-HIRHAM5_v3_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_NCC-NorESM1-M_rcp45_DMI-HIRHAM5_v3_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_DMI_NCC-NorESM1-M_rcp85_DMI-HIRHAM5_v3_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_DMI_NCC-NorESM1-M_rcp85_DMI-HIRHAM5_v3_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_GERICS_CNRM-CERFACS-CNRM-CM5_historical_GERICS-REMO2015_v2_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_GERICS_CNRM-CERFACS-CNRM-CM5_historical_GERICS-REMO2015_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_GERICS_CNRM-CERFACS-CNRM-CM5_rcp85_GERICS-REMO2015_v2_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_GERICS_CNRM-CERFACS-CNRM-CM5_rcp85_GERICS-REMO2015_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_GERICS_IPSL-IPSL-CM5A-MR_historical_GERICS-REMO2015_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_GERICS_IPSL-IPSL-CM5A-MR_historical_GERICS-REMO2015_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_GERICS_IPSL-IPSL-CM5A-MR_rcp85_GERICS-REMO2015_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_GERICS_IPSL-IPSL-CM5A-MR_rcp85_GERICS-REMO2015_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_GERICS_MPI-M-MPI-ESM-LR_historical_GERICS-REMO2015_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_GERICS_MPI-M-MPI-ESM-LR_historical_GERICS-REMO2015_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_GERICS_MPI-M-MPI-ESM-LR_rcp85_GERICS-REMO2015_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_GERICS_MPI-M-MPI-ESM-LR_rcp85_GERICS-REMO2015_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_GERICS_NCC-NorESM1-M_historical_GERICS-REMO2015_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_GERICS_NCC-NorESM1-M_historical_GERICS-REMO2015_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
